pool_address,network,dex,group,discovered_at_utc,pool_created_at,reason,sampling_probability,tracking_until_utc
Bgf45Fjqeobgd5viMX8P8AfhiydRewEFKPd7nmcFNQRb,solana,PumpSwap,trending,2026-09-21T00:05:21.371607+00:00,2026-09-20T18:44:10Z,trending_rank_20,1.0,2026-09-23T00:05:21.371607+00:00
8SUBpDtbh6Tk9wiAPngG4VMVsVNnubcw1NCCRmEyriLV,solana,Pump.fun,random_new,2026-09-21T00:05:21.371607+00:00,2026-09-21T00:02:53Z,new_pools_sampled_p=0.25,0.25,2026-09-23T00:05:21.371607+00:00
21HoZA7pDSX3Dh7sfDPtL7h3U9dxzymuLrj2eEsEiWKh,solana,Pump.fun,random_new,2026-09-21T00:05:21.371607+00:00,2026-09-21T00:02:49Z,new_pools_sampled_p=0.25,0.25,2026-09-23T00:05:21.371607+00:00
98EHcdDL91obAV6UPTvp6CXhUuaMWDok8seLHDyto3ez,solana,Pump.fun,random_new,2026-09-21T00:05:21.371607+00:00,2026-09-21T00:02:46Z,new_pools_sampled_p=0.25,0.25,2026-09-23T00:05:21.371607+00:00
DjiCr634wywstD6mEMaUiuQ3bJnPyHQ5ncMh1NgG87QY,solana,Meteora DAMM V2,random_new,2026-09-21T00:05:21.371607+00:00,2026-09-21T00:02:35Z,new_pools_sampled_p=0.25,0.25,2026-09-23T00:05:21.371607+00:00
Gh5Be1E6zYkADT7eGa72rTWytQv7RUuzqFFJsyZ795Nd,solana,Pump.fun,random_new,2026-09-21T00:05:21.371607+00:00,2026-09-21T00:02:34Z,new_pools_sampled_p=0.25,0.25,2026-09-23T00:05:21.371607+00:00
8WormohZAE1UHyEX65Y5njDzwgEiCPXskr5QhJRdk68d,solana,PumpSwap,trending,2026-09-21T01:03:10.217875+00:00,2026-09-20T21:21:18Z,trending_rank_20,1.0,2026-09-23T01:03:10.217875+00:00
CWGCA9eA1oNHvcw6nmcH7sHMVrmuhZ47dhyHE2rTAJpW,solana,Pump.fun,random_new,2026-09-21T01:03:10.217875+00:00,2026-09-21T01:02:05Z,new_pools_sampled_p=0.25,0.25,2026-09-23T01:03:10.217875+00:00
7wCarEYcymXE2oLsUaptqg4ybX5HfH1MsinRhq4pvHjm,solana,PumpSwap,random_new,2026-09-21T01:03:10.217875+00:00,2026-09-21T01:01:51Z,new_pools_sampled_p=0.25,0.25,2026-09-23T01:03:10.217875+00:00
F7RPa22rZD3s7AAizTjYKH3NnaNRMzu4kTEJfUidPLbV,solana,Pump.fun,random_new,2026-09-21T01:03:10.217875+00:00,2026-09-21T01:01:46Z,new_pools_sampled_p=0.25,0.25,2026-09-23T01:03:10.217875+00:00
A4cKgTqgPDC3tgPYg3ir8fNDTmYHLBMUEaqxUUg3LYcK,solana,Meteora DAMM V2,random_new,2026-09-21T01:03:10.217875+00:00,2026-09-21T01:01:44Z,new_pools_sampled_p=0.25,0.25,2026-09-23T01:03:10.217875+00:00
FL8EQPGZbmDtDnb9csBki7XMiBsuBY8ak9KrMq2ivwdL,solana,Pump.fun,random_new,2026-09-21T01:03:10.217875+00:00,2026-09-21T01:01:35Z,new_pools_sampled_p=0.25,0.25,2026-09-23T01:03:10.217875+00:00
EZELL4udEzSVPP6A9Us55F1h1MyrgAZkyaA5YGauctq6,solana,Pump.fun,random_new,2026-09-21T01:03:10.217875+00:00,2026-09-21T01:01:35Z,new_pools_sampled_p=0.25,0.25,2026-09-23T01:03:10.217875+00:00
Q2sPHPdUWFMg7M7wwrQKLrn619cAucfRsmhVJffodSp,solana,Raydium,trending,2026-09-21T06:12:05.611575+00:00,2025-05-10T14:23:18Z,trending_rank_18,1.0,2026-09-23T06:12:05.611575+00:00
GTHKH8s82ZR8GTSFZ1dUu6wfdxhy59wpMShxzG5zjiPm,solana,Orca,trending,2026-09-21T06:12:05.611575+00:00,2025-10-24T00:47:07Z,trending_rank_19,1.0,2026-09-23T06:12:05.611575+00:00
4w2cysotX6czaUGmmWg13hDpY4QEMG2CzeKYEQyK9Ama,solana,PumpSwap,trending,2026-09-21T06:12:05.611575+00:00,2025-04-20T18:30:26Z,trending_rank_20,1.0,2026-09-23T06:12:05.611575+00:00
DZUF7qh38pfQ9qb4gfKh4qW7dn2C9s1asdiDxYXQpP7T,solana,Pump.fun,random_new,2026-09-21T06:12:05.611575+00:00,2026-09-21T06:10:52Z,new_pools_sampled_p=0.25,0.25,2026-09-23T06:12:05.611575+00:00
CFTVxuqCt5Pt6mtsWhwpK7VkmEkRU9FSa5dVzKJZwcEP,solana,PumpSwap,random_new,2026-09-21T06:12:05.611575+00:00,2026-09-21T06:10:37Z,new_pools_sampled_p=0.25,0.25,2026-09-23T06:12:05.611575+00:00
CYmqRFN9RbmECCTkoRvAWtRW6mDz2hdyxo9CjCToGrWN,solana,Pump.fun,random_new,2026-09-21T06:12:05.611575+00:00,2026-09-21T06:10:28Z,new_pools_sampled_p=0.25,0.25,2026-09-23T06:12:05.611575+00:00
