request_timestamp_utc,pool_address,network,dex,base_token_address,base_token_symbol,quote_token_address,quote_token_symbol,pool_created_at,price_usd,fdv_usd,market_cap_usd,reserve_usd,volume_usd_m5,volume_usd_h1,volume_usd_h24,buys_m5,sells_m5,buyers_m5,sellers_m5,buys_h1,sells_h1,buyers_h1,sellers_h1,buys_h24,sells_h24,buyers_h24,sellers_h24,source,ohlcv_timeframe,ohlcv_open,ohlcv_high,ohlcv_low,ohlcv_close,ohlcv_volume,raw_cache_path
2026-09-25T01:28:51.128981+00:00,DA4pM4xSDY4M9V4CgAKKBVH1pw1yscTQQa5nEkGHuKpt,solana,PumpSwap,MukLDtJ8Cx9DxLbeyLRSWPSposTMWuwHANbuaudpump,OTC,So11111111111111111111111111111111111111112,SOL,2026-08-28T13:33:11Z,0.00880808308188314,6089995.90584407,6090060.04180757,554459.5155,1336.9128816215,22646.1878182321,952395.514932872,8,12,8,12,245,224,200,208,4942,5232,2160,2893,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-25/012859126109_multi_pools_aea8fa2c5e70.json
2026-09-25T01:28:51.128981+00:00,4iVHkn5WhmGwrKb2fYFNPnTkqhwYTEEezvsju9YEBY76,solana,Meteora,4MMQY9bwkxxTtsK3W227Q5ABT6yFY8Pmn9Ze7wmAXKY8,ALLINU,So11111111111111111111111111111111111111112,SOL,2026-09-11T20:56:40Z,0.006206654227543475,6176274.28887654,6176360.91842539,347296.9754,14996.7614431312,88101.7643567104,1754578.13168599,19,4,16,2,93,58,54,29,2029,1423,895,744,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-25/012859126109_multi_pools_aea8fa2c5e70.json
2026-09-25T01:28:51.128981+00:00,6HAzRJ6TGxLs3m7ybzq2cjbNcKwbKgd69kjc1eKT4hkF,solana,Meteora DAMM V2,9kCiwJuss6k1Ehd3L1rGrk25B4iZnVMSAMaNKSp5W97d,CHILLPHILL,So11111111111111111111111111111111111111112,SOL,2026-09-23T01:50:01Z,4.379137558541485e-10,0.4379137559,,0.786,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-25/012859126109_multi_pools_aea8fa2c5e70.json
2026-09-25T01:28:51.128981+00:00,55Rs11dgHcsSHzkTANyN8DXQArKjwe3CLwTG2UbxwsoZ,solana,Pump.fun,Cbt6TvqAPP5ibnrx2KgfcyomSdhA2QBZdHwcM8UApump,trench,So11111111111111111111111111111111111111112,SOL,2026-09-23T01:49:49Z,3.82211489046564e-09,7.64422978,,6.875,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-25/012859126109_multi_pools_aea8fa2c5e70.json
2026-09-25T01:28:51.128981+00:00,6wdmsooo7WwcqSRhZAEsvtuEbdr5YjpcTM97Gg8mL9iy,solana,Meteora DAMM V2,DpHfXmbiPiqcA8agUnzEttFQg968xxhYBsvUivQbmoyp,CI,So11111111111111111111111111111111111111112,SOL,2026-09-23T01:49:41Z,1.1055910032085983e-05,11055.91003,,6.0171,0.0,0.0640250295,0.0640250295,0,0,0,0,0,1,0,1,0,1,0,1,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-25/012859126109_multi_pools_aea8fa2c5e70.json
2026-09-25T01:28:51.128981+00:00,5Z7F8pnDt34GFpSha95gBMvfbKqpLxbFy3j4UAzJHrmx,solana,Meteora DBC,5BCJqtHp1kevkABHCJuPjypJRqinwKePHTs27jEWDXBo,CI,So11111111111111111111111111111111111111112,SOL,2026-09-23T01:49:35Z,3.92842253279707e-05,39284.22533,,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-25/012859126109_multi_pools_aea8fa2c5e70.json
2026-09-25T01:28:51.128981+00:00,DkM45P8NbU7ufLUQ6mjZn2wCVw7b7fks22LUZr4QMaKu,solana,PumpSwap,Ahvxo4omASYbxvvd39QgXZzru3hHPWPukFGFtQZppump,VSOF,So11111111111111111111111111111111111111112,SOL,2026-09-23T01:49:26Z,2.6269703661919693e-06,2626.8076142938,,2614.9253,0.0,0.0,269.7203582087,0,0,0,0,0,0,0,0,4,2,4,2,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-25/012859126109_multi_pools_aea8fa2c5e70.json
2026-09-25T01:28:51.128981+00:00,HCAZia1gVGy1hrfWR2FyLAXZFzC1REfDcPwC2MHao5rm,solana,PumpSwap,6x4G1SqbPTWkqmZ4VAWVgoZ1jmA7TqJUSHnKyqsHpump,PEPARK,So11111111111111111111111111111111111111112,SOL,2026-08-04T01:28:30Z,0.00016409237677777905,144809.835208665,144809.835208665,70450.6835,0.0,1576.6235457314,5538.1205163796,0,0,0,0,16,7,16,7,2844,133,2831,126,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-25/012859126109_multi_pools_aea8fa2c5e70.json
2026-09-25T01:28:51.128981+00:00,8PSKpEDnA1tPk5EHrbUJ9FkeuyPTDbUbMAENtpEEEU7t,solana,PumpSwap,jibUkJpZfvjB6hLDd46B9ongcrVS3hNH8oipVP3pump,CATO,So11111111111111111111111111111111111111112,SOL,2026-09-23T06:45:17Z,2.1999615908637783e-06,2189.1598763214,,2306.8414,0.0,0.0,51.8177161773,0,0,0,0,0,0,0,0,0,7,0,7,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-25/012859126109_multi_pools_aea8fa2c5e70.json
2026-09-25T01:28:51.128981+00:00,Ck4SsGEQ3bRss6kXorNg8PHcoZwfCEj7xSVwTu9VWGBf,solana,Pump.fun,Cp9P1scSDtLfDrVrtSzjkQLn3UsdFejiQnctY2TYc5DX,6,So11111111111111111111111111111111111111112,SOL,2026-09-23T06:45:08Z,3.331271160263363e-06,3331.274492,,2603.3381,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-25/012859126109_multi_pools_aea8fa2c5e70.json
