pool_address,event_at_utc,event_type,detail
FatFS3TxcnKrje5RvLRU5BShWCosGebhQHNT3zdmquXg,2026-09-25T01:28:43.572621+00:00,tracking_window_ended,Fenêtre de suivi (tracking_duration_hours) dépassée.
Hpt84dm7AfpUuiFbZpK5KJMHBLxbbQSMjpuWRvX1j1PG,2026-09-25T01:28:43.572621+00:00,tracking_window_ended,Fenêtre de suivi (tracking_duration_hours) dépassée.
HQ4nJuzAdad67fzknaArAsJXrKtgkF2sozuqACyujgxJ,2026-09-25T01:28:43.572621+00:00,tracking_window_ended,Fenêtre de suivi (tracking_duration_hours) dépassée.
Eb6Ws2zYMALyYQ7q3CL4G7dPf8ACdTsQThFEBEL1bKCy,2026-09-25T01:28:43.572621+00:00,tracking_window_ended,Fenêtre de suivi (tracking_duration_hours) dépassée.
DA4pM4xSDY4M9V4CgAKKBVH1pw1yscTQQa5nEkGHuKpt,2026-09-25T06:29:55.053849+00:00,tracking_window_ended,Fenêtre de suivi (tracking_duration_hours) dépassée.
4iVHkn5WhmGwrKb2fYFNPnTkqhwYTEEezvsju9YEBY76,2026-09-25T06:29:55.053849+00:00,tracking_window_ended,Fenêtre de suivi (tracking_duration_hours) dépassée.
6HAzRJ6TGxLs3m7ybzq2cjbNcKwbKgd69kjc1eKT4hkF,2026-09-25T06:29:55.053849+00:00,tracking_window_ended,Fenêtre de suivi (tracking_duration_hours) dépassée.
55Rs11dgHcsSHzkTANyN8DXQArKjwe3CLwTG2UbxwsoZ,2026-09-25T06:29:55.053849+00:00,tracking_window_ended,Fenêtre de suivi (tracking_duration_hours) dépassée.
6wdmsooo7WwcqSRhZAEsvtuEbdr5YjpcTM97Gg8mL9iy,2026-09-25T06:29:55.053849+00:00,tracking_window_ended,Fenêtre de suivi (tracking_duration_hours) dépassée.
5Z7F8pnDt34GFpSha95gBMvfbKqpLxbFy3j4UAzJHrmx,2026-09-25T06:29:55.053849+00:00,tracking_window_ended,Fenêtre de suivi (tracking_duration_hours) dépassée.
DkM45P8NbU7ufLUQ6mjZn2wCVw7b7fks22LUZr4QMaKu,2026-09-25T06:29:55.053849+00:00,tracking_window_ended,Fenêtre de suivi (tracking_duration_hours) dépassée.
